,country,year,status,life_expectancy,adult_mortality,infant_deaths,percentage_expenditure,measles,bmi,under_five_death,hiv_aids,gdp,population,schooling,current_amount
42,algeria,2010,Developing,74.7,119.0,21,430.71758610000006,103,53.9,24.0,0.1,4463.394675,36117637.0,14.0,25513296.0
43,algeria,2011,Developing,74.9,116.0,21,509.0020405,112,55.0,24.0,0.1,5432.2523,36819558.0,14.0,21795736.0
44,algeria,2012,Developing,75.1,113.0,21,555.9260833999999,18,56.1,24.0,0.1,5564.82566,37565847.0,14.0,25076783.0
45,algeria,2013,Developing,75.3,112.0,21,544.4507432,25,57.2,24.0,0.1,5471.866765999999,38338562.0,14.0,29335028.0
46,algeria,2014,Developing,75.4,11.0,21,54.2373183,0,58.4,24.0,0.1,547.8517,39113313.0,14.0,21992439.0
47,algeria,2015,Developing,75.6,19.0,21,0.0,63,59.5,24.0,0.1,4132.76292,39871528.0,14.0,23713333.0
48,angola,2000,Developing,45.3,48.0,97,15.88149254,2219,15.4,160.0,2.0,555.2969419,1644924.0,5.0,105389883.0
49,angola,2001,Developing,45.7,44.0,97,30.35993647,9046,15.8,159.0,2.1,526.168743,16983266.0,5.0,141614809.0
50,angola,2002,Developing,46.5,391.0,96,24.037942,11945,16.3,157.0,2.3,711.181716,17572649.0,6.0,235473921.0
51,angola,2003,Developing,46.8,388.0,95,35.93349121,1196,16.8,155.0,2.4,779.468356,1823369.0,6.0,314242662.0
52,angola,2004,Developing,47.1,386.0,94,8.8667775,29,17.2,152.0,2.5,141.86844,18865716.0,6.0,248715978.0
53,angola,2005,Developing,47.4,382.0,92,98.19145117,258,17.7,148.0,2.6,1443.9919289999998,19552542.0,7.0,151707453.0
54,angola,2006,Developing,47.7,381.0,90,25.08688824,765,18.2,143.0,2.5,262.41514900000004,2262399.0,7.0,142589766.0
55,angola,2007,Developing,48.2,375.0,87,184.8213446,1014,18.8,138.0,2.6,2878.837144,2997687.0,8.0,96825665.0
56,angola,2008,Developing,48.7,371.0,84,249.9101958,265,19.3,133.0,2.6,3868.5788829999997,2175942.0,8.0,113132177.0
57,angola,2009,Developing,49.1,369.0,81,212.92293250000003,2807,19.8,127.0,2.5,3347.84485,22549547.0,9.0,103161743.0
58,angola,2010,Developing,49.6,365.0,78,191.6537407,1190,2.4,121.0,2.5,3529.5348200000003,23369131.0,9.0,161072712.0
59,angola,2011,Developing,51.0,361.0,75,239.89139210000002,1449,21.0,115.0,2.5,4299.12889,24218565.0,9.0,149883287.0
60,angola,2012,Developing,56.0,358.0,72,256.1225243,4458,21.5,110.0,2.6,4598.2499880000005,259615.0,10.0,155113326.0
61,angola,2013,Developing,51.1,355.0,69,35.95857279,8523,22.1,105.0,2.3,484.61688399999997,2599834.0,11.0,131566605.0
62,angola,2014,Developing,51.7,348.0,67,23.965612,11699,22.7,101.0,2.0,479.31224000000003,2692466.0,11.0,122686141.0
63,angola,2015,Developing,52.4,335.0,66,0.0,118,23.3,98.0,1.9,3695.7937479999996,2785935.0,11.0,120538217.0
64,antiguaandbarbuda,2000,Developing,73.6,156.0,0,1127.74347,0,38.2,0.0,0.1,9875.161736,,0.0,706000.0
65,antiguaandbarbuda,2001,Developing,73.8,154.0,0,163.7676978,0,38.9,0.0,0.1,9358.154162,,0.0,1552000.0
66,antiguaandbarbuda,2002,Developing,74.0,153.0,0,927.4075855000001,0,39.5,0.0,0.1,9386.716451999999,,0.0,7270999.0
67,antiguaandbarbuda,2003,Developing,74.2,151.0,0,1158.065259,0,4.1,0.0,0.1,9739.82556,,0.0,664000.0
68,antiguaandbarbuda,2004,Developing,74.4,149.0,0,22.86295206,0,4.8,0.0,0.1,1352.8374,,0.0,3064001.0
69,antiguaandbarbuda,2005,Developing,74.6,147.0,0,1455.608186,0,41.4,0.0,0.1,11371.93895,,0.0,1315944.0
70,antiguaandbarbuda,2006,Developing,74.8,145.0,0,216.3146941,0,42.0,0.0,0.1,12724.39377,,15.0,896733.0
71,antiguaandbarbuda,2007,Developing,75.0,144.0,0,257.96653080000004,0,42.6,0.0,0.1,14252.29452,,15.0,1080000.0
72,antiguaandbarbuda,2008,Developing,75.2,142.0,0,180.7762695,0,43.2,0.0,0.1,1473.31923,,14.0,212000.0
73,antiguaandbarbuda,2009,Developing,75.4,14.0,0,149.3587355,0,43.8,0.0,0.1,1312.4669199999998,,14.0,1410172.0
74,antiguaandbarbuda,2010,Developing,75.6,138.0,0,1983.9569370000002,0,44.4,0.0,0.1,12126.87614,,14.0,4624538.0
75,antiguaandbarbuda,2011,Developing,75.7,136.0,0,1810.875316,0,45.1,0.0,0.1,11929.349909999999,,14.0,803966.0
76,antiguaandbarbuda,2012,Developing,75.9,134.0,0,2156.229842,0,45.7,0.0,0.2,12565.44197,,14.0,960500.0
77,antiguaandbarbuda,2013,Developing,76.1,133.0,0,1991.4303719999998,0,46.4,0.0,0.2,12224.86416,,14.0,1051000.0
78,antiguaandbarbuda,2014,Developing,76.2,131.0,0,2422.999774,0,47.0,0.0,0.2,12888.29667,,14.0,1024000.0
79,antiguaandbarbuda,2015,Developing,76.4,13.0,0,0.0,0,47.7,0.0,0.2,13566.9541,,14.0,770000.0
80,argentina,2000,Developing,74.1,137.0,12,1349.025282,6,54.0,14.0,0.1,7669.273915999999,3757452.0,15.0,6878188.0
81,argentina,2001,Developing,74.0,138.0,12,123.01286709999998,0,54.6,13.0,0.1,717.6946740000001,3747159.0,16.0,8379494.0
82,argentina,2002,Developing,74.1,138.0,12,470.18691449999994,0,55.1,13.0,0.1,2579.193168,3788937.0,16.0,6285866.0
83,argentina,2003,Developing,74.1,137.0,11,57.58467352,0,55.7,13.0,0.1,333.4376,3839379.0,16.0,10716359.0
84,argentina,2004,Developing,74.7,13.0,11,719.3663797,0,56.3,12.0,0.1,4251.574348,38728696.0,16.0,5894158.0
85,argentina,2005,Developing,74.9,127.0,11,96.16653429,0,56.9,12.0,0.1,576.883829,39145488.0,16.0,4657435.0
86,argentina,2006,Developing,75.2,127.0,11,961.1774676000001,0,57.5,12.0,0.1,5878.76127,3955889.0,16.0,6204633.0
87,argentina,2007,Developing,74.8,129.0,10,1105.6590310000001,0,58.0,12.0,0.1,7193.61764,3997224.0,16.0,14923522.0
88,argentina,2008,Developing,75.4,126.0,10,1413.7354300000002,0,58.6,11.0,0.1,8953.359275,4382389.0,16.0,12334399.0
89,argentina,2009,Developing,75.6,126.0,10,1398.042623,3,59.2,11.0,0.1,8161.369659999999,479947.0,17.0,7962246.0
90,argentina,2010,Developing,75.5,121.0,10,187.61095500000002,17,59.8,11.0,0.1,1276.265,41223889.0,17.0,12664112.0
91,argentina,2011,Developing,75.7,12.0,9,1504.329462,3,6.4,10.0,0.1,12726.9836,41656879.0,17.0,22103222.0
92,argentina,2012,Developing,75.9,12.0,9,1133.5580029999999,2,61.0,10.0,0.1,12969.7712,4296739.0,17.0,16543082.0
93,argentina,2013,Developing,76.0,119.0,8,1001.796332,0,61.6,10.0,0.1,12976.63642,42539925.0,17.0,5913889.0
94,argentina,2014,Developing,76.2,118.0,8,847.3717462999999,1,62.2,9.0,0.1,12245.25645,42981515.0,17.0,4793875.0
95,argentina,2015,Developing,76.3,116.0,8,0.0,0,62.8,9.0,0.1,13467.1236,43417765.0,17.0,3590244.0
96,armenia,2000,Developing,72.0,142.0,1,32.75626853,15,47.1,1.0,0.1,622.7427477000001,369588.0,11.0,104150392.0
97,armenia,2001,Developing,72.6,141.0,1,53.19373012,69,47.4,1.0,0.1,694.435119,35655.0,11.0,169842666.0
98,armenia,2002,Developing,72.6,134.0,1,57.17810403,40,47.8,1.0,0.1,783.261699,333897.0,11.0,175526053.0
99,armenia,2003,Developing,72.7,134.0,1,7.341493148,4,48.1,1.0,0.1,93.1661567,31786.0,11.0,179952940.0
100,armenia,2004,Developing,73.0,132.0,1,97.74087744,1783,48.4,1.0,0.1,1191.96192,3612.0,11.0,157791579.0
101,armenia,2005,Developing,73.0,137.0,1,20.21822828,2281,48.8,1.0,0.1,1643.758397,2981259.0,11.0,148242876.0
102,armenia,2006,Developing,72.9,141.0,1,244.5352767,137,49.2,1.0,0.1,2158.299,29585.0,11.0,393487055.0
103,armenia,2007,Developing,73.5,132.0,1,44.57219966,1,49.7,1.0,0.1,3138.8873,293356.0,12.0,170863527.0
104,armenia,2008,Developing,73.2,14.0,1,2.8888979,0,5.1,1.0,0.1,41.26997,29822.0,12.0,170406685.0
105,armenia,2009,Developing,73.3,137.0,1,201.18554609999998,0,5.7,1.0,0.1,2993.832531,2888584.0,12.0,149877122.0
106,armenia,2010,Developing,73.5,132.0,1,224.3212014,2,51.2,1.0,0.1,3218.381655,2877311.0,12.0,154060577.0
107,armenia,2011,Developing,73.9,128.0,1,260.9963826,0,51.9,1.0,0.1,3526.978143,2875581.0,13.0,198512707.0
108,armenia,2012,Developing,74.4,121.0,1,274.1526986,0,52.6,1.0,0.1,3684.8481,2881922.0,13.0,82860169.0
109,armenia,2013,Developing,74.4,123.0,1,279.4290812,10,53.3,1.0,0.1,3843.591213,289359.0,13.0,119874150.0
110,armenia,2014,Developing,74.6,12.0,1,295.60871430000003,13,54.1,1.0,0.1,3994.7123549999997,29622.0,13.0,113747123.0
111,armenia,2015,Developing,74.8,118.0,1,0.0,33,54.9,1.0,0.1,369.65477599999997,291695.0,13.0,85944474.0
112,australia,2005,Developed,81.0,67.0,1,579.1331637,10,61.5,2.0,0.1,3416.71483,23948.0,20.0,82416.0
113,australia,2006,Developed,81.2,66.0,1,6187.062017,0,62.0,2.0,0.1,36118.28381,26979.0,20.0,399482.0
114,australia,2007,Developed,81.3,66.0,1,872.5986092,11,62.5,2.0,0.1,4991.98289,28276.0,19.0,166820.0
115,australia,2008,Developed,81.3,66.0,1,8547.292356999998,65,62.9,1.0,0.1,49664.6854,212492.0,19.0,823038.0
116,australia,2009,Developed,81.7,66.0,1,7172.275229000001,104,63.4,1.0,0.1,42742.998980000004,216917.0,19.0,653884.0
117,australia,2010,Developed,81.9,64.0,1,8875.786493000001,70,63.9,1.0,0.1,51874.848,223175.0,20.0,382693.0
118,australia,2011,Developed,82.0,63.0,1,10986.26527,190,64.4,1.0,0.1,62245.129,223424.0,20.0,601153.0
119,australia,2012,Developed,82.3,61.0,1,11714.99858,199,65.0,1.0,0.1,67677.63477,22728254.0,20.0,1764117.0
120,australia,2013,Developed,82.5,61.0,1,11734.853809999999,158,65.5,1.0,0.1,67792.3386,23117353.0,20.0,27064.0
121,australia,2015,Developed,82.8,59.0,1,0.0,74,66.6,1.0,0.1,56554.3876,23789338.0,20.0,501042.0
122,austria,2008,Developed,84.0,76.0,0,8329.731655,448,54.2,0.0,0.1,51386.37665,8321496.0,15.0,7600000.0
123,austria,2009,Developed,82.0,77.0,0,8053.557637999999,49,54.7,0.0,0.1,47654.187210000004,8343323.0,15.0,7188957.0
124,austria,2010,Developed,84.0,75.0,0,7423.228773999999,52,55.2,0.0,0.1,46657.629,836344.0,15.0,4413402.0
125,austria,2011,Developed,88.0,73.0,0,8272.306756999998,68,55.7,0.0,0.1,51126.741389999996,8391643.0,16.0,1242697.0
126,austria,2012,Developed,88.0,7.0,0,7878.3723549999995,36,56.1,0.0,0.1,48333.57273,8429991.0,16.0,618410.0
127,austria,2013,Developed,81.1,68.0,0,90.58501176,0,56.6,0.0,0.1,554.71532,8479375.0,16.0,16709.0
128,austria,2015,Developed,81.5,65.0,0,0.0,309,57.6,0.0,0.1,43665.947,8633169.0,16.0,6858.0
129,azerbaijan,2000,Developing,66.6,16.0,9,35.09462644,210,42.1,11.0,0.1,655.974326,8486.0,10.0,54966601.0
130,azerbaijan,2001,Developing,67.5,151.0,8,4.104190077,574,42.6,10.0,0.1,73.6838434,81112.0,10.0,67120417.0
131,azerbaijan,2002,Developing,67.8,146.0,7,39.33253687,4353,43.1,9.0,0.1,763.73858,817195.0,11.0,106630697.0
132,azerbaijan,2003,Developing,67.8,154.0,7,42.41491183,1978,43.6,8.0,0.1,883.6439965,82341.0,11.0,126476104.0
133,azerbaijan,2004,Developing,68.4,154.0,6,8.59680496,827,44.2,8.0,0.1,145.2163,8365.0,11.0,117288482.0
134,azerbaijan,2005,Developing,68.4,162.0,6,81.28883085,1238,44.7,7.0,0.1,1578.4239,839185.0,11.0,126297917.0
135,azerbaijan,2006,Developing,69.2,154.0,6,105.6337264,222,45.3,7.0,0.1,2473.8577600000003,848455.0,11.0,118638557.0
136,azerbaijan,2007,Developing,73.0,14.0,6,176.01071059999998,0,45.9,7.0,0.1,3851.437869,85813.0,12.0,118146096.0
137,azerbaijan,2008,Developing,73.0,141.0,6,206.26161340000002,5,46.6,6.0,0.1,5574.6382,87634.0,12.0,93276344.0
138,azerbaijan,2009,Developing,78.0,132.0,6,22.48638351,0,47.3,6.0,0.1,495.29479100000003,8947243.0,12.0,106627532.0
139,azerbaijan,2010,Developing,71.1,13.0,5,246.56860079999998,0,48.0,6.0,0.1,5842.85784,954332.0,12.0,97715779.0
140,azerbaijan,2011,Developing,71.6,125.0,5,263.14269900000005,0,48.8,6.0,0.1,7189.691229000001,917382.0,12.0,146044701.0
141,azerbaijan,2012,Developing,71.9,123.0,5,285.6103912,0,49.7,6.0,0.1,7496.335728,9295784.0,12.0,112920467.0
142,azerbaijan,2013,Developing,72.2,121.0,5,275.6514934,164,5.6,6.0,0.1,7875.756953,941681.0,12.0,81132405.0
143,azerbaijan,2014,Developing,72.5,119.0,5,306.1824313,0,51.5,6.0,0.1,7891.299776000001,953579.0,12.0,99449355.0
144,azerbaijan,2015,Developing,72.7,118.0,5,0.0,0,52.5,6.0,0.1,55.31381999999999,9649341.0,13.0,50707970.0
145,bahamas,2000,Developing,72.6,192.0,0,0.0,0,54.4,0.0,0.1,,,12.0,6057000.0
146,bahamas,2001,Developing,72.9,189.0,0,0.0,0,55.2,0.0,0.2,,,12.0,13383000.0
147,bahamas,2002,Developing,73.1,19.0,0,0.0,0,56.0,0.0,0.1,,,12.0,13555340.0
148,bahamas,2003,Developing,73.2,189.0,0,0.0,0,56.7,0.0,0.1,,,12.0,12575924.0
149,bahamas,2004,Developing,73.8,174.0,0,0.0,0,57.4,0.0,0.1,,,12.0,14337505.0
150,bahamas,2005,Developing,74.1,172.0,0,0.0,0,58.1,0.0,0.1,,,12.0,7300949.0
151,bahamas,2006,Developing,74.2,171.0,0,0.0,0,58.7,0.0,0.1,,,12.0,13502556.0
152,bahamas,2007,Developing,74.4,167.0,0,0.0,0,59.4,0.0,0.1,,,13.0,20222673.0
153,bahamas,2008,Developing,74.5,167.0,0,0.0,0,6.1,0.0,0.1,,,13.0,38745029.0
154,bahamas,2009,Developing,74.6,168.0,0,0.0,0,6.7,0.0,0.1,,,13.0,26420562.0
155,bahamas,2010,Developing,75.0,161.0,0,0.0,0,61.3,0.0,0.2,,,13.0,25593085.0
156,bahamas,2011,Developing,75.0,162.0,0,0.0,0,62.0,0.0,0.1,,,13.0,20950338.0
157,bahamas,2012,Developing,74.9,167.0,0,0.0,0,62.6,0.0,0.2,,,13.0,6576282.0
158,bahamas,2013,Developing,74.8,172.0,0,0.0,0,63.2,0.0,0.1,,,13.0,3757190.0
159,bahamas,2014,Developing,75.4,16.0,0,0.0,0,63.8,0.0,0.1,,,13.0,5530630.0
160,bahamas,2015,Developing,76.1,147.0,0,0.0,0,64.5,0.0,0.1,,,13.0,3348353.0
161,bahrain,2000,Developing,74.5,92.0,0,167.7270642,6,54.5,0.0,0.1,13636.34668,,13.0,14720497.0
162,bahrain,2001,Developing,74.7,9.0,0,1150.418063,5,54.8,0.0,0.1,12868.211000000001,,13.0,12499380.0
163,bahrain,2002,Developing,74.9,87.0,0,106.43033359999998,8,55.0,0.0,0.1,1312.33457,,14.0,77762620.0
164,bahrain,2003,Developing,75.0,85.0,0,1214.558167,12,55.2,0.0,0.1,14221.99259,,14.0,189159830.0
165,bahrain,2004,Developing,75.2,83.0,0,1380.228095,11,55.6,0.0,0.1,15846.47641,,14.0,50500600.0
166,bahrain,2005,Developing,75.3,81.0,0,1553.468944,4,56.1,0.0,0.1,17959.17854,,14.0,52875746.0
167,bahrain,2006,Developing,75.5,79.0,0,170.7374027,3,56.8,0.0,0.1,1937.9954899999998,,14.0,34241041.0
168,bahrain,2007,Developing,75.6,77.0,0,278.3602806,7,57.6,0.0,0.1,2977.1153,,14.0,46976417.0
169,bahrain,2008,Developing,75.8,76.0,0,231.5478912,2,58.5,0.0,0.1,2367.56535,,14.0,9927899.0
170,bahrain,2009,Developing,76.0,74.0,0,332.9347646,3,59.3,0.0,0.1,19356.67236,,14.0,19134849.0
171,bahrain,2010,Developing,76.1,73.0,0,266.7696122,0,6.1,0.0,0.1,2722.1389,,14.0,41985170.0
172,bahrain,2011,Developing,76.1,76.0,0,197.77346809999997,0,6.8,0.0,0.1,2281.1242,,14.0,96106913.0
173,bahrain,2012,Developing,76.5,71.0,0,2211.2157780000002,0,61.5,0.0,0.1,23649.36661,,15.0,22974376.0
174,bahrain,2013,Developing,76.7,7.0,0,3.968695982,0,62.2,0.0,0.1,251.18329,,15.0,30249361.0
175,bahrain,2014,Developing,76.8,7.0,0,367.2556742,46,62.9,0.0,0.1,24983.3792,,15.0,23507484.0
176,bahrain,2015,Developing,76.9,69.0,0,0.0,0,63.6,0.0,0.1,22688.878240000002,,15.0,19758005.0
177,bangladesh,2000,Developing,65.3,173.0,231,3.69633051,5098,1.4,316.0,0.1,45.63371,131581243.0,7.0,78264431.0
178,bangladesh,2001,Developing,65.8,168.0,219,3.395069781,4414,1.8,298.0,0.1,42.5981152,1341716.0,8.0,281408986.0
179,bangladesh,2002,Developing,66.3,164.0,207,0.397228764,3484,11.2,280.0,0.1,4.6135745,1366667.0,8.0,176220643.0
180,bangladesh,2003,Developing,66.8,161.0,196,35.48458957,4067,11.6,264.0,0.1,432.7388972,139191.0,8.0,190005368.0
181,bangladesh,2004,Developing,67.3,158.0,185,4.11469667,9743,12.0,247.0,0.1,46.7579167,14137489.0,8.0,181873616.0
182,bangladesh,2005,Developing,67.8,155.0,174,38.05462002,25934,12.5,231.0,0.1,484.155471,14343111.0,8.0,168594232.0
183,bangladesh,2006,Developing,68.2,152.0,164,42.3304549,6192,13.0,215.0,0.1,494.51465999999994,1453684.0,8.0,170903471.0
184,bangladesh,2007,Developing,68.6,151.0,154,46.36536703,2924,13.5,201.0,0.1,541.651484,147139191.0,9.0,163251412.0
185,bangladesh,2008,Developing,69.1,147.0,144,42.48865034,2660,14.0,186.0,0.1,615.7775411,14885814.0,9.0,308927712.0
186,bangladesh,2009,Developing,69.5,144.0,135,53.26400378,718,14.6,173.0,0.1,681.125368,1545478.0,8.0,227940694.0
187,bangladesh,2010,Developing,69.9,142.0,126,62.65945432,788,15.2,161.0,0.1,757.6717572000001,15214912.0,9.0,357196278.0
188,bangladesh,2011,Developing,73.0,14.0,118,62.34988484,5625,15.8,150.0,0.1,835.789341,153911916.0,9.0,365420830.0
189,bangladesh,2012,Developing,77.0,137.0,111,59.2589257,1986,16.4,139.0,0.1,856.342857,15572753.0,10.0,565957163.0
190,bangladesh,2013,Developing,71.0,135.0,104,52.82986467,237,17.0,130.0,0.1,951.8894535000001,157571292.0,10.0,467858783.0
191,bangladesh,2014,Developing,71.4,132.0,98,10.44640334,289,17.7,121.0,0.1,184.56543,15945279.0,10.0,657716155.0
192,bangladesh,2015,Developing,71.8,129.0,92,0.0,240,18.3,113.0,0.1,121.15812,1612886.0,10.0,479214833.0
193,barbados,2000,Developing,73.3,127.0,0,1140.615754,0,43.0,0.0,0.9,11568.1111,,14.0,1114000.0
194,barbados,2001,Developing,73.4,125.0,0,138.16646269999998,0,43.8,0.0,0.7,11513.87189,,14.0,4249250.0
195,barbados,2002,Developing,73.5,123.0,0,133.099491,0,44.6,0.0,0.8,11675.39395,,14.0,1708685.0
196,barbados,2003,Developing,73.7,121.0,0,13.513991699999998,0,45.4,0.0,0.4,1228.5447,,14.0,1774247.0
197,barbados,2004,Developing,73.8,119.0,0,166.00834430000003,0,46.2,0.0,0.2,12868.8639,,14.0,1953386.0
198,barbados,2005,Developing,73.9,117.0,0,1311.440423,0,46.9,0.0,0.1,14223.865759999999,,15.0,3215681.0
199,barbados,2006,Developing,74.1,115.0,0,181.50008559999998,0,47.7,0.0,0.1,15646.5591,,15.0,5714519.0
200,barbados,2007,Developing,74.2,113.0,0,1641.30981,0,48.4,0.0,0.1,16462.48556,,15.0,1146576.0
201,barbados,2008,Developing,74.4,111.0,0,25.52277112,0,49.2,0.0,0.1,1657.3228,,15.0,945747.0
202,barbados,2009,Developing,74.6,19.0,0,327.1618128,0,49.9,0.0,0.1,16523.32388,,16.0,998719.0
203,barbados,2010,Developing,74.7,16.0,0,154.96308630000001,0,5.7,0.0,0.1,1595.91232,,16.0,2474477.0
204,barbados,2011,Developing,74.9,14.0,0,173.9825629,0,51.4,0.0,0.1,15534.1574,,16.0,1608289.0
205,barbados,2012,Developing,75.1,12.0,0,260.0043858,0,52.2,0.0,0.1,15384.8749,,15.0,3816516.0
206,barbados,2013,Developing,75.2,11.0,0,263.0372838,0,53.0,0.0,0.1,15472.7814,,15.0,1384615.0
207,barbados,2014,Developing,75.4,1.0,0,294.9056584,0,53.7,0.0,0.1,15359.66971,,15.0,1146971.0
208,barbados,2015,Developing,75.5,98.0,0,0.0,0,54.5,0.0,0.1,15557.8381,,15.0,6431513.0
209,belarus,2000,Developing,68.0,247.0,1,24.24947846,21,54.4,1.0,0.1,1276.28834,997961.0,13.0,9218000.0
210,belarus,2001,Developing,67.7,254.0,1,14.06141699,45,54.9,1.0,0.1,1244.373185,9928549.0,13.0,29533046.0
211,belarus,2002,Developing,67.2,262.0,1,145.4233629,14,55.3,1.0,0.1,1479.383142,9865548.0,14.0,18456912.0
212,belarus,2003,Developing,67.7,253.0,1,23.83578594,21,55.8,1.0,0.1,1819.525644,9796749.0,14.0,14515512.0
213,belarus,2004,Developing,68.2,247.0,1,42.33443901,2,56.2,1.0,0.1,2378.33927,973146.0,14.0,13491381.0
214,belarus,2005,Developing,68.1,252.0,1,45.65007798,1,56.7,1.0,0.1,3126.71767,9663915.0,14.0,20640213.0
